0.244914	8.558204	zemin
8.558204	16.310631	zemin
16.310631	24.096986	nakarat
24.096986	31.764594	nakarat2
31.764594	39.508539	meyan
39.508539	47.362748	meyan2
47.362748	54.911611	nakarat
54.911611	62.290835	nakarat2
62.290835	77.015358	aranagme
77.015358	91.616893	aranagme
91.616893	99.196501	zemin
99.196501	106.362619	zemin
106.362619	113.826663	nakarat
113.826663	121.070178	nakarat2
121.070178	128.568149	meyan
128.568149	136.269684	meyan2
136.269684	143.699800	nakarat
143.699800	150.909388	nakarat2
