0.289890	11.194209	aranagme	1
11.194209	21.786340	aranagme	2
21.786340	30.059351	zemin	3
30.059351	41.186663	zemin2	4
41.186663	49.660367	nakarat	5
49.660367	60.575836	nakarat2	6
60.575836	69.194485	meyan	7
69.194485	79.909261	meyan2	8
79.909261	88.516761	nakarat	9
88.516761	96.800922	nakarat3	10
96.800922	107.682942	aranagme	11
107.682942	118.492490	aranagme	12
118.492490	126.839368	zemin	13
126.839368	137.867726	zemin2	14
137.867726	146.171399	nakarat	15
146.171399	157.120317	nakarat2	16
157.120317	165.691581	meyan	17
165.691581	176.827254	meyan2	18
176.827254	185.083541	nakarat	19
185.083541	196.043609	nakarat3	20
