0.289174	19.022652	aranagme
19.022652	37.813320	aranagme
37.813320	47.169990	zemin
47.169990	56.449332	zemin
56.449332	65.986434	nakarat
65.986434	75.326994	nakarat2
75.326994	84.728772	meyan
84.728772	94.159548	meyan2
94.159548	103.541994	nakarat
103.541994	112.911552	nakarat2
112.911552	131.715108	aranagme
131.715108	150.454224	aranagme
150.454224	159.888222	zemin
159.888222	169.281140	zemin
169.281140	178.640226	nakarat
178.640226	188.013006	nakarat2
188.013006	197.418006	meyan
197.418006	206.852004	meyan2
206.852004	216.208674	nakarat
216.208674	226.725262	nakarat2
