Start(sec)	End(sec)	Section	Confidence
0	16.4397	aranagme	0.68943
16.3004	32.1829	aranagme	0.72674
32.1829	40.1241	zemin	0.79014
40.3563	48.3439	zemin	0.74878
48.3904	56.378	nakarat	0.67934
56.4245	64.4122	nakarat2	0.78829
64.7372	72.9107	meyan	0.61944
72.3998	82.3844	meyan2	0.69453
82.4773	90.4649	nakarat	0.65686
90.4649	98.4526	nakarat2	0.80296
98.4526	114.3351	aranagme	0.76732
114.1493	130.0317	aranagme	0.69723
130.0317	137.973	zemin	0.82321
138.0194	146.0071	zemin	0.74828
145.9606	153.9483	nakarat	0.67492
153.8554	161.7966	nakarat2	0.79749
161.9824	170.2023	meyan	0.63176
169.645	179.6296	meyan2	0.65861
179.5831	187.803	nakarat	0.68481
187.7566	195.6513	nakarat2	0.70518
