0.471490	10.866727	aranagme
10.866727	20.666989	aranagme
20.666989	25.875833	usul_strokes
25.875833	34.486143	zemin
34.486143	45.285515	zemin2
45.285515	54.176473	nakarat
54.176473	65.065653	nakarat2
65.065653	74.338294	meyan
74.338294	86.058194	meyan2
86.058194	94.477663	nakarat
94.477663	102.448093	nakarat3
102.448093	112.551455	aranagme
112.551455	118.052174	usul_strokes
118.052174	126.449191	zemin
126.449191	137.181207	zemin2
137.181207	145.959906	nakarat
145.959906	156.849085	nakarat2
156.849085	165.852304	meyan
165.852304	177.504848	meyan2
177.504848	186.188127	nakarat
186.188127	196.892078	nakarat3
