0.423792	14.219965	aranagme
14.219965	27.835284	aranagme
27.835284	34.659140	zemin
34.659140	41.472198	zemin
41.472198	48.242067	nakarat
48.242067	54.968748	nakarat2
54.968748	61.717022	meyan
61.717022	68.400514	meyan2
68.400514	75.062411	nakarat
75.062411	81.605538	nakarat2
81.605538	88.278232	nakarat
88.278232	94.799765	nakarat2
94.799765	108.037181	aranagme
108.037181	121.274597	aranagme
121.274597	127.914899	zemin
127.914899	134.525509	zemin
134.525509	141.001154	nakarat
141.001154	147.479498	nakarat2
147.479498	154.006429	meyan
154.006429	160.554955	meyan2
160.554955	167.022502	nakarat
167.022502	173.403671	nakarat2
173.403671	179.730853	nakarat
179.730853	187.979944	nakarat2
