0.650650	20.730025	aranagme
20.730025	40.866142	aranagme
40.866142	51.219806	zemin
51.219806	61.425939	zemin
61.425939	71.480758	nakarat
71.480758	81.754982	nakarat2
81.754982	92.036771	meyan
92.036771	102.242904	meyan2
102.242904	112.244763	nakarat
112.244763	122.413067	nakarat2
122.413067	132.551109	nakarat
132.551109	142.658887	nakarat2
142.658887	162.632342	aranagme
162.632342	172.986006	zemin
172.986006	183.082436	zemin
183.082436	192.955678	nakarat
192.955678	203.187345	nakarat2
203.187345	213.352812	meyan
213.352812	223.415196	meyan2
223.415196	233.417055	nakarat
233.417055	243.403782	nakarat2
243.403782	253.277024	nakarat
253.277024	264.156504	nakarat2
