0.117168	2.135058	rüzgar
2.135058	6.053671	söylüyor
2.135058	6.053671	söylüyor
8.200120	8.462120	o
8.462120	11.977155	yerlerde
11.977155	14.118722	bizim
14.118722	16.442550	eski
14.118722	16.442550	eski

38.508884	40.540337	rüzgar
40.540337	44.689758	söylüyor
40.540337	44.689758	söylüyor
46.828071	47.088444	o
47.088444	50.629515	yerlerde
50.629515	52.738536	bizim
52.738536	55.068874	eski
52.738536	55.068874	eski

77.529293	79.727817	vazgeç
79.727817	81.926341	söyleme
79.727817	81.926341	söyleme

89.913281	93.382750	mazideki
89.913281	93.382750	mazideki

116.152362	118.044134	vazgeç
118.044134	120.376913	söyleme
118.044134	120.376913	söyleme

128.363853	131.729173	mazideki
128.363853	131.729173	mazideki

154.973966	156.129371	bir
154.973966	156.129371	bir
157.082986	158.998762	günüydü
157.082986	158.998762	günüydü
162.731452	163.100856	bu
163.100856	166.651691	hazin
163.100856	166.651691	hazin
171.061148	178.335926	ömrümüzün
178.855859	185.750046	ömrümüzün
192.967258	194.902154	vazgeç
195.139744	197.242256	söyleme
195.139744	197.242256	söyleme

205.192173	208.617298	mazideki
205.192173	208.617298	mazideki

