0.000000	18.778411	aranagme
18.778411	36.533355	aranagme
36.533355	45.655569	zemin
45.655569	54.638725	zemin
54.638725	63.499510	nakarat
63.499510	72.265735	nakarat2
72.265735	81.218298	meyan
81.218298	90.165299	meyan2
90.165299	98.942649	nakarat
98.942649	107.263888	nakarat2
107.263888	124.685092	aranagme
124.685092	133.495816	zemin
133.495816	142.217542	zemin
142.217542	150.805773	nakarat
150.805773	159.260508	nakarat2
159.260508	168.516218	meyan
168.516218	179.373878	meyan2
179.373878	187.672867	nakarat
187.672867	195.994107	nakarat2
